Signal Legend:

Key        Signal Name

0        = KEY[1]
1        = alu_out
2        = func_return
3        = rs2_data
4        = width
5        = d_rdata
6        = d_wdata
7        = d_be

Data Table:

Signals-> 0 1         2         3         4  5         6         7  

sample

69        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
70        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
71        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
72        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
73        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
74        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
75        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
76        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
77        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
78        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
79        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
80        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
81        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
82        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
83        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
84        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
85        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
86        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
87        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
88        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
89        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
90        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
91        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
92        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
93        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
94        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
95        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
96        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
97        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
98        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
99        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
100       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
101       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
102       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
103       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
104       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
105       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
106       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
107       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
108       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
109       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
110       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
111       0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
